text,sentiment
Stock market rallies to record highs on strong economic data,0
S&P 500 surges as tech stocks lead broad market gains,0
Dow Jones hits all-time high fueled by investor optimism,0
Bull market continues with major indices posting strong gains,0
Market sentiment turns bullish after Fed signals patience,0
Strong earnings reports drive market to new peaks,0
Tech sector leads market surge with impressive gains,0
Financial stocks soar on rising interest rate environment,0
Market optimism grows as inflation shows signs of cooling,0
Banking sector rallies on strong loan growth outlook,0
Stock market plunges on recession fears and weak data,1
Major sell-off continues as investors flee to safety,1
Market crash wipes billions in value amid panic selling,1
Bear market deepens with indices posting heavy losses,1
Nasdaq tumbles as tech stocks face severe pressure,1
Market volatility spikes as uncertainty grips investors,1
Financial sector under pressure from credit concerns,1
Energy stocks collapse as oil prices crater,1
Market sell-off accelerates on geopolitical tensions,1
Banking stocks plummet on lending crisis fears,1
Markets close mixed with no clear directional trend,2
Trading volumes remain light as investors stay cautious,2
Stock market treads water ahead of Fed decision,2
Indices finish flat in quiet pre-holiday trading session,2
Market consolidates recent gains in sideways trading,2
Investors await earnings season before making moves,2
Market holds steady despite mixed economic indicators,2
Stocks range-bound as conflicting signals emerge,2
Market sentiment neutral as bulls and bears balanced,2
Indices trade within established support resistance levels,2
